,date,close,entry,sl,sl_fact,tp
65774,2021-05-23 21:00:00,2119.76,True,1878.5366971223987,1.3,2433.350293740882
65856,2021-05-25 14:00:00,2629.47,True,2389.197997322131,1.3,2941.8236034812294
65920,2021-05-26 22:00:00,2838.43,True,2692.877513262435,1.3,3027.648232758834
65946,2021-05-27 11:00:00,2814.0,True,2689.9058663368282,1.3,2975.3223737621233
66022,2021-05-29 01:00:00,2531.22,True,2386.8469154452023,1.3,2718.9050099212363
66078,2021-05-30 05:00:00,2364.92,True,2217.176917591493,1.3,2556.9860071310595
66129,2021-05-31 06:30:00,2390.13,True,2274.9015639864615,1.3,2539.9269668176003
66211,2021-06-01 23:30:00,2634.57,True,2551.2032027823716,1.3,2742.9468363829174
66269,2021-06-03 04:30:00,2767.17,True,2684.7804838632887,1.3,2874.2763709777246
66342,2021-06-04 17:00:00,2700.0,True,2581.8892927218317,1.3,2853.5439194616188
66406,2021-06-06 01:00:00,2665.32,True,2566.477335536751,1.3,2793.815463802224
66452,2021-06-07 00:00:00,2747.55,True,2651.5500408261864,1.3,2872.349946925958
66539,2021-06-08 19:30:00,2501.15,True,2378.256111601853,1.3,2660.9120549175914
66561,2021-06-09 06:30:00,2532.82,True,2425.253562488535,1.3,2672.656368764905
66581,2021-06-09 16:30:00,2597.01,True,2472.4373257592392,1.3,2758.9544765129895
66713,2021-06-12 10:30:00,2393.54,True,2293.948420545911,1.3,2523.0090532903155
66772,2021-06-13 16:00:00,2392.0,True,2310.728735016537,1.3,2497.6526444785018
66936,2021-06-17 02:00:00,2425.55,True,2363.209840573335,1.3,2506.592207254665
67028,2021-06-19 00:00:00,2249.65,True,2171.372842765718,1.3,2351.410304404567
67052,2021-06-19 12:00:00,2258.64,True,2195.9027077502237,1.3,2340.198479924709
67112,2021-06-20 18:00:00,2144.95,True,2084.9066473472526,1.3,2223.006358448571
67204,2021-06-22 16:00:00,1910.2,True,1742.646930518852,1.3,2128.0189903254923
67291,2021-06-24 11:30:00,1965.25,True,1905.499684708563,1.3,2042.9254098788679
